avg rtt,bps rx a,bps rx b,drop pkts a,drop pkts b,eid,endpoints,entity id,name,pkt rx a,pkt rx b,rpt timer,rx drop % a,rx drop % b,state,type,timestamp
1,48065,55874,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,1,240,1000,0.0,0.0,Run,LF/UDP,1722015865928043.5
0,56706,56615,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,6,4,1000,0.0,0.0,Run,LF/UDP,1722015866928491.8
1,52384,55663,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,10,9,1000,0.0,0.0,Run,LF/UDP,1722015867928880.5
1,53689,52716,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,15,13,1000,0.0,0.0,Run,LF/UDP,1722015868929257.8
1,54886,54267,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,20,18,1000,0.0,0.0,Run,LF/UDP,1722015869929651.0
0,55631,55196,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,25,23,1000,0.0,0.0,Run,LF/UDP,1722015870930281.0
0,55407,55819,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,30,28,1000,0.0,0.0,Run,LF/UDP,1722015871930858.2
0,55145,54550,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,35,32,1000,0.0,0.0,Run,LF/UDP,1722015872931244.8
0,55312,55090,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,40,37,1000,0.0,0.0,Run,LF/UDP,1722015873931685.2
0,55681,55509,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,45,42,1000,0.0,0.0,Run,LF/UDP,1722015874932093.8
0,55683,55849,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,50,47,1000,0.0,0.0,Run,LF/UDP,1722015875932522.8
0,55955,55038,0,0,1.3,"['vap0000-sta0000-A', 'vap0000-sta0000-B']",3.1,vap0000-sta0000,55,51,1000,0.0,0.0,Run,LF/UDP,1722015876932983.8
