4way time (us),activity,alias,anqp time (us),ap,avg chain rssi,beacon,bps rx,bps rx ll,bps tx,bps tx ll,bytes rx ll,bytes tx ll,chain rssi,channel,collisions,connections,crypt,cx ago,cx time (us),device,dhcp (ms),down,entity id,gateway ip,hardware,ip,ipv6 address,ipv6 gateway,key/phrase,login-fail,login-ok,logout-fail,logout-ok,mac,mask,misc,mode,mtu,no cx (us),noise,parent dev,phantom,port,port type,pps rx,pps tx,qlen,reset,retry failed,rx bytes,rx crc,rx drop,rx errors,rx fifo,rx frame,rx length,rx miss,rx over,rx pkts,rx-rate,sec,signal,ssid,status,time-stamp,tx abort,tx bytes,tx crr,tx errors,tx fifo,tx hb,tx pkts,tx wind,tx-failed %,tx-rate,wifi retries,timestamp,eid
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,91757,91757,92969,92969,1514,1534,-42 -50 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,7,7,1000,Complete,0,1514,0,0,0,0,0,0,0,0,1,864.8 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:25.511,0,1534,0,0,0,0,1,0,0.0,245 Mbps,0,1722015865928043.5,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,57383,57383,57383,57383,364958,364958,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-89 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,364958,0,0,0,0,0,0,0,0,243,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:25.512,0,364958,0,0,0,0,243,0,16.78082275390625,816.7 Mbps,49,1722015865928043.5,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,67727,67727,68622,68622,9084,9204,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,5,5,1000,Complete,0,9084,0,0,0,0,0,0,0,0,6,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:26.452,0,9204,0,0,0,0,6,0,14.285714149475098,245 Mbps,1,1722015866928491.8,1.1.sta0000
0,2,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,58796,58796,58796,58796,6056,6056,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-90 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,6056,0,0,0,0,0,0,0,0,4,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:26.453,0,6056,0,0,0,0,4,0,33.33333206176758,907.4 Mbps,2,1722015866928491.8,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57383,57383,58141,58141,21196,21476,-42 -50 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,21196,0,0,0,0,0,0,0,0,14,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:28.334,0,21476,0,0,0,0,14,0,48.14814758300781,245 Mbps,13,1722015867928880.5,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,53711,53711,53711,53711,18168,18168,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-90 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,18168,0,0,0,0,0,0,0,0,12,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:28.335,0,18168,0,0,0,0,12,0,25.0,907.4 Mbps,4,1722015867928880.5,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,59067,59067,59848,59848,28766,29146,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,28766,0,0,0,0,0,0,0,0,19,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:29.275,0,29146,0,0,0,0,19,0,45.71428680419922,245 Mbps,16,1722015868929257.8,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,56458,56458,56458,56458,25738,25738,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-89 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,25738,0,0,0,0,0,0,0,0,17,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:29.276,0,25738,0,0,0,0,17,0,19.047618865966797,907.4 Mbps,4,1722015868929257.8,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,59067,59067,59848,59848,28766,29146,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,28766,0,0,0,0,0,0,0,0,19,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:29.275,0,29146,0,0,0,0,19,0,45.71428680419922,245 Mbps,16,1722015869929651.0,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,56458,56458,56458,56458,25738,25738,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-89 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,25738,0,0,0,0,0,0,0,0,17,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:29.276,0,25738,0,0,0,0,17,0,19.047618865966797,907.4 Mbps,4,1722015869929651.0,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57568,57568,58328,58328,42392,42952,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,42392,0,0,0,0,0,0,0,0,28,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:31.270,0,42952,0,0,0,0,28,0,40.425533294677734,245 Mbps,19,1722015870930281.0,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,55805,55805,55805,55805,39364,39364,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-90 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,39364,0,0,0,0,0,0,0,0,26,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:31.272,0,39364,0,0,0,0,26,0,21.212121963500977,907.4 Mbps,7,1722015870930281.0,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,58503,58503,59276,59276,49962,50622,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,49962,0,0,0,0,0,0,0,0,33,960.7 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:32.211,0,50622,0,0,0,0,33,0,38.88888931274414,245 Mbps,21,1722015871930858.2,1.1.sta0000
