ap,auth-for,capabilities,chain rssi,entity id,idle,ip,roam-duration,rx bytes,rx pkts,rx rate,signal,signal avg,station bssid,station ssid,tx bytes,tx pkts,tx rate,tx retries,tx-failed,timestamp
1.1.vap0000,1470,2x2 HE,"-30, -34, -35, -32",NA,141,,0,413580,359,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,411374,280,816.7 MBit/s 80MHz HE-MCS 8 HE-NSS 2 HE-GI 1 HE-DCM 0,64,0,1722015865928043.5
1.1.vap0000,1471,2x2 HE,"-29, -34, -35, -32",NA,23,,0,421150,364,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,418944,285,907.4 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 1 HE-DCM 0,66,0,1722015866928491.8
1.1.vap0000,1472,2x2 HE,"-30, -34, -35, -32",NA,109,,0,427206,368,816.6 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,425000,289,907.4 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 1 HE-DCM 0,67,0,1722015867928880.5
1.1.vap0000,1473,2x2 HE,"-30, -34, -35, -32",NA,197,,0,433262,372,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,431056,293,907.4 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 1 HE-DCM 0,68,0,1722015868929257.8
1.1.vap0000,1474,2x2 HE,"-30, -34, -36, -33",NA,70,,0,440832,377,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-28,-27,80:45:dd:27:19:92,TESTSSID,438626,298,907.4 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 1 HE-DCM 0,68,0,1722015869929651.0
1.1.vap0000,1475,2x2 HE,"-30, -34, -35, -33",NA,209,,0,446888,381,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,444682,302,907.4 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 1 HE-DCM 0,68,0,1722015870930281.0
1.1.vap0000,1476,2x2 HE,"-30, -34, -35, -33",NA,149,,0,454458,386,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,452252,307,907.4 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 1 HE-DCM 0,71,0,1722015871930858.2
1.1.vap0000,1477,2x2 HE,"-30, -34, -35, -32",NA,38,,0,462028,391,816.6 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,459822,312,907.4 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 1 HE-DCM 0,71,0,1722015872931244.8
1.1.vap0000,1477,2x2 HE,"-30, -34, -35, -33",NA,138,,0,468084,395,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,465878,316,907.4 MBit/s 80MHz HE-MCS 9 HE-NSS 2 HE-GI 1 HE-DCM 0,72,0,1722015873931685.2
1.1.vap0000,1479,2x2 HE,"-30, -34, -35, -32",NA,128,,0,481710,404,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,479504,325,272.2 MBit/s 80MHz HE-MCS 3 HE-NSS 2 HE-GI 1 HE-DCM 0,78,0,1722015874932093.8
1.1.vap0000,1480,2x2 HE,"-30, -34, -36, -33",NA,19,,0,489322,410,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-28,-27,80:45:dd:27:19:92,TESTSSID,487116,331,544.3 MBit/s 80MHz HE-MCS 5 HE-NSS 2 HE-GI 1 HE-DCM 0,78,0,1722015875932522.8
1.1.vap0000,1481,2x2 HE,"-29, -34, -35, -33",NA,198,,0,495378,414,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,493172,335,680.6 MBit/s 80MHz HE-MCS 7 HE-NSS 2 HE-GI 1 HE-DCM 0,78,0,1722015876932983.8
1.1.vap0000,1482,2x2 HE,"-30, -34, -36, -33",NA,87,,0,502948,419,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-28,-27,80:45:dd:27:19:92,TESTSSID,500742,340,816.7 MBit/s 80MHz HE-MCS 8 HE-NSS 2 HE-GI 1 HE-DCM 0,82,0,1722015877933350.0
1.1.vap0000,1483,2x2 HE,"-30, -35, -35, -32",NA,201,,0,509004,423,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-27,-27,80:45:dd:27:19:92,TESTSSID,506798,344,612.5 MBit/s 80MHz HE-MCS 6 HE-NSS 2 HE-GI 1 HE-DCM 0,82,0,1722015878933839.2
1.1.vap0000,1484,2x2 HE,"-30, -35, -36, -33",NA,150,,0,516574,428,918.5 MBit/s 80MHz HE-MCS 10 HE-NSS 2 HE-GI 2 HE-DCM 0,-28,-27,80:45:dd:27:19:92,TESTSSID,514368,349,612.5 MBit/s 80MHz HE-MCS 6 HE-NSS 2 HE-GI 1 HE-DCM 0,84,0,1722015879935226.5
